title,image,area_1,area_2,latitude,longitude,address
國立中正紀念堂,/hotspots/taiwan_img/國立中正紀念堂.jpg,臺北市,中正區,25.034611,121.52178,臺北市中正區中山南路21號
西門町商圈,/hotspots/taiwan_img/西門町商圈.jpg,臺北市,萬華區,25.044584,121.50753,臺北市萬華區
華西街觀光夜市,/hotspots/taiwan_img/華西街觀光夜市.jpg,臺北市,萬華區,25.038598,121.49844,臺北市萬華區華西街
台北101,/hotspots/taiwan_img/台北101.jpg,臺北市,信義區,25.033976,121.56453,臺北市信義區信義路五段7號
士林官邸,/hotspots/taiwan_img/士林官邸.jpg,臺北市,士林區,25.093077,121.53239,臺北市士林區福林路60號
臺北忠烈祠,/hotspots/taiwan_img/臺北忠烈祠.jpg,臺北市,中山區,25.078381,121.53312,臺北市中山區北安路139號
大稻埕碼頭,/hotspots/taiwan_img/大稻埕碼頭.jpg,臺北市,大同區,25.056615,121.50714,臺北市大同區大稻埕碼頭
總統府,/hotspots/taiwan_img/總統府.jpg,臺北市,中正區,25.040082,121.51195,臺北市中正區重慶南路一段122號
五分埔-成衣街,/hotspots/taiwan_img/五分埔-成衣街.jpg,臺北市,信義區,25.046702,121.57896,臺北市信義區
關渡宮,/hotspots/taiwan_img/關渡宮.jpg,臺北市,北投區,25.117698,121.46393,臺北市北投區知行路360號
大安森林公園,/hotspots/taiwan_img/大安森林公園.jpg,臺北市,大安區,25.032435,121.5349,臺北市大安區新生南路二段1號
臺北市藍色公路,/hotspots/taiwan_img/臺北市藍色公路.jpg,臺北市,大同區,25.056615,121.50714,臺北市大同區大稻埕碼頭
臺北市立動物園,/hotspots/taiwan_img/臺北市立動物園.jpg,臺北市,文山區,24.998346,121.58103,臺北市文山區新光路二段30號
貓空纜車,/hotspots/taiwan_img/貓空纜車.jpg,臺北市,文山區,24.996027,121.57629,臺北市文山區新光路二段8號
美麗華百樂園,/hotspots/taiwan_img/美麗華百樂園.jpg,臺北市,中山區,25.083341,121.55725,臺北市中山區敬業三路20號
國立歷史博物館,/hotspots/taiwan_img/國立歷史博物館.jpg,臺北市,中正區,25.031569,121.51119,臺北市中正區南海路49號
信義商圈,/hotspots/taiwan_img/信義商圈.jpg,臺北市,信義區,25.035547,121.56712,臺北市信義區
建國假日花市、玉市,/hotspots/taiwan_img/建國假日花市、玉市.jpg,臺北市,大安區,25.038336,121.53787,臺北市大安區建國南路一段
行天宮,/hotspots/taiwan_img/行天宮.jpg,臺北市,中山區,25.063069,121.5339,臺北市中山區民權東路二段109號
花博公園,/hotspots/taiwan_img/花博公園.jpg,臺北市,中山區,25.070753,121.52048,臺北市中山區玉門街1號
剝皮寮老街,/hotspots/taiwan_img/剝皮寮老街.jpg,臺北市,萬華區,25.036838,121.50216,臺北市萬華區康定路173巷
國立國父紀念館,/hotspots/taiwan_img/國立國父紀念館.jpg,臺北市,信義區,25.0391,121.56025,臺北市信義區仁愛路四段505號
北投文物館,/hotspots/taiwan_img/北投文物館.jpg,臺北市,北投區,25.138184,121.51443,臺北市北投區幽雅路32號
指南宮,/hotspots/taiwan_img/指南宮.jpg,臺北市,文山區,24.979824,121.58662,臺北市文山區萬壽路115號
